case_id,shape,spacing
BraTS-GLI-02062-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02062-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02062-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02062-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02062-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02066-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02066-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02066-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02066-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02066-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02066-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02068-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02068-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02069-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02069-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02069-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02069-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02070-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02070-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02070-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02071-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02071-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02072-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02072-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02072-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02072-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02072-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02072-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02076-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02076-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02077-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02077-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02079-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02079-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02081-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02081-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02081-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02082-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02082-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02082-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02082-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02082-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02082-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02082-106,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02085-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02085-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02085-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02085-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02085-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02085-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02086-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02086-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02087-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02087-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02087-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02088-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02088-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02088-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02092-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02092-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02092-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02092-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02092-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02092-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02096-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02096-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02096-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02096-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02100-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02100-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02103-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02103-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02103-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02103-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02103-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02103-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02103-106,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02104-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02104-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02106-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02106-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02106-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02111-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02111-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02111-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02111-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02111-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02111-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02111-106,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02111-107,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02114-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02114-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02115-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02115-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02119-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02119-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02119-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02120-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02120-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02124-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02124-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02132-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02132-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02132-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02132-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02132-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02135-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02135-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02141-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02141-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02143-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02143-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02143-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02143-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02143-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02144-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02144-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02145-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02145-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02146-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02146-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02146-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02146-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02147-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02147-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02155-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02155-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02156-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02156-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02158-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02158-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02166-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02166-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02167-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02167-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02170-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02170-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02170-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02171-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02171-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02172-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02172-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02174-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02174-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02178-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02178-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02178-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02181-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02181-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02181-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02184-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02184-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02186-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02186-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02186-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02186-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02188-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02188-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02191-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02191-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02192-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02192-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02192-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02192-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02193-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02193-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02193-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02193-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02193-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02193-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02196-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02196-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02196-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02196-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02196-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02196-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02196-106,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02197-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02197-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02199-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02199-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02199-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02199-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02199-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02204-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02204-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02204-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02204-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02204-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02205-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02205-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02205-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02205-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02205-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02205-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02207-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02207-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02209-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02209-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02209-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02209-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02209-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02211-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02216-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02216-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02216-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02216-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02216-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02219-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02219-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02219-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02219-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02220-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02220-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02220-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02221-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02221-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02221-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02221-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02222-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02223-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02224-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02225-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02225-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02228-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02229-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02237-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02237-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02237-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02238-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02238-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02238-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02238-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02240-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02240-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02242-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02242-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02242-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02242-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02242-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02245-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02245-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02245-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02245-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02245-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02246-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02246-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02247-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02247-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02247-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02247-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02247-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02248-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02248-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02248-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02248-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02248-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02251-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02256-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02256-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02258-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02258-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02259-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02265-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02267-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02267-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02268-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02268-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02278-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02281-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02284-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02285-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02285-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02285-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02285-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02292-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02300-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02300-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02300-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02303-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02303-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02303-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02303-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02306-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02307-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02307-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02307-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02315-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02318-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02327-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02330-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02334-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02335-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02335-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02336-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02337-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02339-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02341-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02342-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
